study_accession	run_accession	read_count	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	scientific_name	tax_id
PRJEB80740	ERR15108385	1523624	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108387	1752438	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108398	2223590	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108401	2058132	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108403	1810924	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108406	2139112	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108416	1993526	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108420	1625884	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108421	1568820	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108425	1457890	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108426	2080772	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108428	1999744	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108432	1855954	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108434	1911406	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108437	1778604	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108439	1707854	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108441	1674260	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108443	2048664	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108445	1995450	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108448	1854702	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108450	2186702	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108451	2082614	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108454	1894040	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108459	1782968	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108462	2231020	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108464	2138052	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108465	2068572	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108469	1791650	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108474	1991116	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108477	1840236	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108478	2081810	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108479	1968006	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108480	1989954	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108483	1969330	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108484	2017648	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108485	1939254	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108492	5189170	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108508	5779252	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108510	9412900	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108511	9101454	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108513	8986766	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108516	5525082	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108517	5451168	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108518	7302750	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108572	9084650	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB88970	ERR14951232	6051273	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951240	4877952	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951245	6101905	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951256	5385348	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951258	7153186	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951263	5250929	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951265	6883629	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951270	6413321	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951272	6762838	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB88970	ERR14951274	7291979	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB31893	ERR3262713	3059969	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262715	100873	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262718	9512207	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262719	30007849	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262723	4152806	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262727	14829398	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262730	11981465	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262738	574290	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262744	22133159	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262745	699372	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262747	3109805	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262750	1872165	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262751	128415	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262753	1514093	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262754	272637	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262755	324359	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262757	1051385	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262758	13112265	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262759	13366146	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262765	19924095	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB31893	ERR3262768	4560083	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354482	21977800	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354483	8823147	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354484	6313301	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354486	15197053	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354488	5537267	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354489	7958047	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354490	13912802	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354491	9664740	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354492	9947596	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354493	13570439	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354494	3615245	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354496	6588997	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354497	959129	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354503	26227603	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354505	30722657	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB32764	ERR3354508	4345217	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032505	12357348	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032509	73526006	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032510	7518746	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032519	569158	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032525	11132329	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032526	9088525	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032527	323056	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032529	79023895	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032535	1195505	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032536	100097	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032537	343078	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032538	515817	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032539	7826327	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032542	591570	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032543	428145	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032545	250420	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032547	7308743	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB40698	ERR5032549	7417758	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897773	13272831	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897775	23756814	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897778	3376183	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897781	8598146	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897782	872343	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897785	7850525	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897787	8511832	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897788	331994	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897791	498438	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897792	8332667	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897794	73909627	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897796	10608348	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB37660	ERR5897802	3760492	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB46155	ERR6212592	7042722	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB47831	ERR7052389	6453969	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB47831	ERR7052391	3180976	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB47831	ERR7052394	2072529	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB76829	ERR16039590	17592185	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB76829	ERR16039595	140320529	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB76829	ERR16039597	17171196	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB60072	ERR10908723	18843541	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 550	Homo sapiens	9606
PRJEB84914	ERR14205991	22056294	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14205992	34828072	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14205994	14244356	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14205996	12485938	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14205998	7032826	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14205999	21460342	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14206001	5741550	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14206005	41514818	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14206006	8844656	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14206008	6337712	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14206014	44925616	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB84914	ERR14206018	2715222	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	Illumina NovaSeq 6000	Homo sapiens	9606
PRJEB79566	ERR13615625	20147814	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina MiSeq	Homo sapiens	9606
PRJEB79566	ERR13615627	25753291	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina MiSeq	Homo sapiens	9606
PRJEB79566	ERR13615629	1274901	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina MiSeq	Homo sapiens	9606
PRJEB79566	ERR13615630	897686	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina MiSeq	Homo sapiens	9606
PRJEB79566	ERR13615632	1381804	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina MiSeq	Homo sapiens	9606
PRJEB53198	ERR9810099	576384	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB53198	ERR9810100	99830433	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	Illumina HiSeq 4000	Homo sapiens	9606
PRJEB76829	ERR16039598	2410115	WGS	METAGENOMIC	RANDOM	SINGLE	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108338	1689612	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108339	1616446	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108343	1788214	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108348	1441104	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108349	1382146	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108350	1732508	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108351	1640298	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108356	1815760	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108358	1640056	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108360	1571770	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
