project_accession,source_db
PRJEB24501,SRA
PRJEB25624,SRA
PRJEB31893,ENA
PRJEB31971,ENA
PRJEB32764,ENA
PRJEB33848,SRA
PRJEB34569,SRA
PRJEB37660,ENA
PRJEB37995,SRA
PRJEB40698,ENA
PRJEB43291,ENA and SRA
PRJEB43389,SRA
PRJEB44507,SRA
PRJEB44723,ENA and SRA
PRJEB45999,ENA
PRJEB46155,SRA
PRJEB47831,ENA
PRJEB53198,SRA
PRJEB55583,SRA
PRJEB59976,SRA
PRJEB60072,SRA
PRJEB61887,SRA
PRJEB63329,SRA
PRJEB76829,SRA
PRJEB79566,SRA
PRJEB80740,SRA
PRJEB84914,SRA
PRJEB88970,SRA
PRJEB91735,SRA
PRJNA239147,SRA
PRJNA659919,SRA